id,procurement_type,package_name,coordinates
21055824,JASA_LAINNYA,Belanja Tagihan Listrik,
21055885,PENGADAAN_BARANG,Belanja Kebutuhan Rumah Tangga Wakil Walikota,
21757498,PENGADAAN_BARANG,"Pek. Tulangan Ulir Untuk Pondasi, Sloff, Kolom, Balok, Dan Tangga Diameter Diatas 12 mm",
21750827,PENGADAAN_BARANG,Pengadaan Kendaraan Angkutan Barang,
21045609,PENGADAAN_BARANG,Gorong-gorong kotak beton bertulang ukuran dalam 500 cm x 400 cm,
18487024,PENGADAAN_BARANG,Transport Incubator NC-1702 TI STD,
21065569,PENGADAAN_BARANG,Perkerasan Blok Beton pada Trotoar dan Median (Full warna Merah 20x20x6 cm) K.225,
21038808,PENGADAAN_BARANG,Beton mutu sedang fc 25 MPa,
21049464,PENGADAAN_BARANG,Saluran U Pracetak Tipe DS 4 ( Precast ),
18488915,PEKERJAAN_KONSTRUKSI,Belanja Modal Jaringan BLUD,
21045847,PENGADAAN_BARANG,Pek. Kayu Bungan Bale Gajah,
19758882,PENGADAAN_BARANG,"Latex Examination Gloves Lightly Powdered, Size M",
21777654,PENGADAAN_BARANG,Pengadaan Pompa Air Limbah,
18366137,PENGADAAN_BARANG,Pekerjaan Lapis Fondasi Agregat Kelas A,
18013724,PEKERJAAN_KONSTRUKSI,Rabat Beton Pulasari Kawan Penarukan,
18489360,PENGADAAN_BARANG,Pengadaan AC,
18684845,JASA_LAINNYA,Belanja Sewa Peralatan Komputer Lainya,
18483631,PENGADAAN_BARANG,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,
19755902,PENGADAAN_BARANG,Sildenafil tab 20 mg,
18011182,PENGADAAN_BARANG,Belanja Obat-Obatan-Obat-Obatan Lainnya (BMHP DNA HPV),
21770017,JASA_KONSULTANSI_BU_KONSTRUKSI,Pengawasan Teknik Peningkatan Jalan pada Ruas Jalan Provinsi PEMPATAN - BAN,
21767986,PENGADAAN_BARANG,"1 m3 beton mutu sedang fc 20 MPa,",
21759490,PENGADAAN_BARANG,Banten Piodalan Hari Raya Saraswati,
